Organism_Name,HB,FY,Total_Specimens,CO_Specimens,HO_Specimens,FY_Pop,FY_Total_Pop_Rate,FY_HO_Pop_Rate,FY_Adm,FY_Total_Adm_Rate,FY_HO_Adm_Rate
S. aureus bacteraemia,Velindre NHST,2022/23,2,2,0,,,,2592,0.77,0.0
S. aureus bacteraemia,Wales,2022/23,874,546,328,3131639.99998,27.91,10.47,418927,2.09,0.78
C. difficile,Aneurin Bevan UHB,2023/24,229,116,113,595412.00002,38.46,18.98,103135,2.22,1.1
C. difficile,Betsi Cadwaladr UHB,2023/24,287,144,143,691991.00002,41.47,20.67,98967,2.9,1.44
C. difficile,Cardiff and Vale UHB,2023/24,112,44,68,518268.99996,21.61,13.12,68223,1.64,1.0
C. difficile,Cwm Taf Morgannwg UHB,2023/24,126,80,46,446514.0,28.22,10.3,70473,1.79,0.65
C. difficile,Hywel Dda UHB,2023/24,182,96,86,388139.00004,46.89,22.16,53466,3.4,1.61
C. difficile,Powys THB,2023/24,25,20,5,134439.0,18.6,3.72,1281,19.52,3.9
C. difficile,Swansea Bay UHB,2023/24,250,132,118,389640.00001,64.16,30.28,59628,4.19,1.98
C. difficile,Velindre NHST,2023/24,7,7,0,,,,2914,2.4,0.0
C. difficile,Wales,2023/24,1218,639,579,3164404.00005,38.49,18.3,458087,2.66,1.26
E. coli bacteraemia,Aneurin Bevan UHB,2023/24,349,259,90,595412.00002,58.61,15.12,103135,3.38,0.87
E. coli bacteraemia,Betsi Cadwaladr UHB,2023/24,549,415,134,691991.00002,79.34,19.36,98967,5.55,1.35
E. coli bacteraemia,Cardiff and Vale UHB,2023/24,345,239,106,518268.99996,66.57,20.45,68223,5.06,1.55
E. coli bacteraemia,Cwm Taf Morgannwg UHB,2023/24,379,294,85,446514.0,84.88,19.04,70473,5.38,1.21
E. coli bacteraemia,Hywel Dda UHB,2023/24,387,323,64,388139.00004,99.71,16.49,53466,7.24,1.2
E. coli bacteraemia,Powys THB,2023/24,2,0,2,134439.0,1.49,1.49,1281,1.56,1.56
E. coli bacteraemia,Swansea Bay UHB,2023/24,257,180,77,389640.00001,65.96,19.76,59628,4.31,1.29
E. coli bacteraemia,Velindre NHST,2023/24,6,6,0,,,,2914,2.06,0.0
E. coli bacteraemia,Wales,2023/24,2274,1716,558,3164404.00005,71.86,17.63,458087,4.96,1.22
Gram negative bacteraemia,Aneurin Bevan UHB,2023/24,509,355,154,595412.00002,85.49,25.86,103135,4.94,1.49
Gram negative bacteraemia,Betsi Cadwaladr UHB,2023/24,737,554,183,691991.00002,106.5,26.45,98967,7.45,1.85
Gram negative bacteraemia,Cardiff and Vale UHB,2023/24,483,311,172,518268.99996,93.19,33.19,68223,7.08,2.52
Gram negative bacteraemia,Cwm Taf Morgannwg UHB,2023/24,518,387,131,446514.0,116.01,29.34,70473,7.35,1.86
Gram negative bacteraemia,Hywel Dda UHB,2023/24,524,424,100,388139.00004,135.0,25.76,53466,9.8,1.87
Gram negative bacteraemia,Powys THB,2023/24,2,0,2,134439.0,1.49,1.49,1281,1.56,1.56
Gram negative bacteraemia,Swansea Bay UHB,2023/24,372,256,116,389640.00001,95.47,29.77,59628,6.24,1.95
Gram negative bacteraemia,Velindre NHST,2023/24,12,12,0,,,,2914,4.12,0.0
Gram negative bacteraemia,Wales,2023/24,3157,2299,858,3164404.00005,99.77,27.11,458087,6.89,1.87
Klebsiella sp bacteraemia,Aneurin Bevan UHB,2023/24,135,81,54,595412.00002,22.67,9.07,103135,1.31,0.52
Klebsiella sp bacteraemia,Betsi Cadwaladr UHB,2023/24,156,118,38,691991.00002,22.54,5.49,98967,1.58,0.38
Klebsiella sp bacteraemia,Cardiff and Vale UHB,2023/24,120,61,59,518268.99996,23.15,11.38,68223,1.76,0.86
Klebsiella sp bacteraemia,Cwm Taf Morgannwg UHB,2023/24,118,80,38,446514.0,26.43,8.51,70473,1.67,0.54
Klebsiella sp bacteraemia,Hywel Dda UHB,2023/24,108,77,31,388139.00004,27.83,7.99,53466,2.02,0.58
Klebsiella sp bacteraemia,Powys THB,2023/24,0,0,0,134439.0,0.0,0.0,1281,0.0,0.0
Klebsiella sp bacteraemia,Swansea Bay UHB,2023/24,94,65,29,389640.00001,24.12,7.44,59628,1.58,0.49
Klebsiella sp bacteraemia,Velindre NHST,2023/24,6,6,0,,,,2914,2.06,0.0
Klebsiella sp bacteraemia,Wales,2023/24,737,488,249,3164404.00005,23.29,7.87,458087,1.61,0.54
MRSA bacteraemia,Aneurin Bevan UHB,2023/24,9,7,2,595412.00002,1.51,0.34,103135,0.09,0.02
MRSA bacteraemia,Betsi Cadwaladr UHB,2023/24,8,5,3,691991.00002,1.16,0.43,98967,0.08,0.03
MRSA bacteraemia,Cardiff and Vale UHB,2023/24,13,8,5,518268.99996,2.51,0.96,68223,0.19,0.07
MRSA bacteraemia,Cwm Taf Morgannwg UHB,2023/24,9,7,2,446514.0,2.02,0.45,70473,0.13,0.03
MRSA bacteraemia,Hywel Dda UHB,2023/24,10,4,6,388139.00004,2.58,1.55,53466,0.19,0.11
MRSA bacteraemia,Powys THB,2023/24,0,0,0,134439.0,0.0,0.0,1281,0.0,0.0
MRSA bacteraemia,Swansea Bay UHB,2023/24,7,2,5,389640.00001,1.8,1.28,59628,0.12,0.08
MRSA bacteraemia,Velindre NHST,2023/24,1,1,0,,,,2914,0.34,0.0
MRSA bacteraemia,Wales,2023/24,57,34,23,3164404.00005,1.8,0.73,458087,0.12,0.05
MSSA bacteraemia,Aneurin Bevan UHB,2023/24,120,79,41,595412.00002,20.15,6.89,103135,1.16,0.4
MSSA bacteraemia,Betsi Cadwaladr UHB,2023/24,172,133,39,691991.00002,24.86,5.64,98967,1.74,0.39
MSSA bacteraemia,Cardiff and Vale UHB,2023/24,146,94,52,518268.99996,28.17,10.03,68223,2.14,0.76
MSSA bacteraemia,Cwm Taf Morgannwg UHB,2023/24,130,99,31,446514.0,29.11,6.94,70473,1.84,0.44
MSSA bacteraemia,Hywel Dda UHB,2023/24,100,70,30,388139.00004,25.76,7.73,53466,1.87,0.56
MSSA bacteraemia,Powys THB,2023/24,1,0,1,134439.0,0.74,0.74,1281,0.78,0.78
MSSA bacteraemia,Swansea Bay UHB,2023/24,135,93,42,389640.00001,34.65,10.78,59628,2.26,0.7
MSSA bacteraemia,Velindre NHST,2023/24,0,0,0,,,,2914,0.0,0.0
MSSA bacteraemia,Wales,2023/24,804,568,236,3164404.00005,25.41,7.46,458087,1.76,0.52
P. aeruginosa bacteraemia,Aneurin Bevan UHB,2023/24,25,15,10,595412.00002,4.2,1.68,103135,0.24,0.1
P. aeruginosa bacteraemia,Betsi Cadwaladr UHB,2023/24,32,21,11,691991.00002,4.62,1.59,98967,0.32,0.11
P. aeruginosa bacteraemia,Cardiff and Vale UHB,2023/24,18,11,7,518268.99996,3.47,1.35,68223,0.26,0.1
P. aeruginosa bacteraemia,Cwm Taf Morgannwg UHB,2023/24,21,13,8,446514.0,4.7,1.79,70473,0.3,0.11
P. aeruginosa bacteraemia,Hywel Dda UHB,2023/24,29,24,5,388139.00004,7.47,1.29,53466,0.54,0.09
P. aeruginosa bacteraemia,Powys THB,2023/24,0,0,0,134439.0,0.0,0.0,1281,0.0,0.0
P. aeruginosa bacteraemia,Swansea Bay UHB,2023/24,21,11,10,389640.00001,5.39,2.57,59628,0.35,0.17
P. aeruginosa bacteraemia,Velindre NHST,2023/24,0,0,0,,,,2914,0.0,0.0
P. aeruginosa bacteraemia,Wales,2023/24,146,95,51,3164404.00005,4.61,1.61,458087,0.32,0.11
S. aureus bacteraemia,Aneurin Bevan UHB,2023/24,129,86,43,595412.00002,21.67,7.22,103135,1.25,0.42
S. aureus bacteraemia,Betsi Cadwaladr UHB,2023/24,180,138,42,691991.00002,26.01,6.07,98967,1.82,0.42
S. aureus bacteraemia,Cardiff and Vale UHB,2023/24,159,102,57,518268.99996,30.68,11.0,68223,2.33,0.84
S. aureus bacteraemia,Cwm Taf Morgannwg UHB,2023/24,139,106,33,446514.0,31.13,7.39,70473,1.97,0.47
S. aureus bacteraemia,Hywel Dda UHB,2023/24,110,74,36,388139.00004,28.34,9.28,53466,2.06,0.67
S. aureus bacteraemia,Powys THB,2023/24,1,0,1,134439.0,0.74,0.74,1281,0.78,0.78
S. aureus bacteraemia,Swansea Bay UHB,2023/24,142,95,47,389640.00001,36.44,12.06,59628,2.38,0.79
S. aureus bacteraemia,Velindre NHST,2023/24,1,1,0,,,,2914,0.34,0.0
S. aureus bacteraemia,Wales,2023/24,861,602,259,3164404.00005,27.21,8.18,458087,1.88,0.57
C. difficile,Aneurin Bevan UHB,2024/25,275,136,139,595412.00003,46.19,23.35,104559,2.63,1.33
C. difficile,Betsi Cadwaladr UHB,2024/25,355,188,167,691990.99998,51.3,24.13,98096,3.62,1.7
C. difficile,Cardiff and Vale UHB,2024/25,210,98,112,518268.99996,40.52,21.61,67682,3.1,1.65
C. difficile,Cwm Taf Morgannwg UHB,2024/25,158,92,66,446513.99999,35.39,14.78,64992,2.43,1.02
C. difficile,Hywel Dda UHB,2024/25,184,106,78,388138.99998,47.41,20.1,56745,3.24,1.37
C. difficile,Powys THB,2024/25,22,14,8,134439.00001,16.36,5.95,1347,16.33,5.94
C. difficile,Swansea Bay UHB,2024/25,275,137,138,389639.99999,70.58,35.42,62961,4.37,2.19
C. difficile,Velindre NHST,2024/25,5,1,4,,,,3204,1.56,1.25
C. difficile,Wales,2024/25,1484,772,712,3164403.99994,46.9,22.5,459586,3.23,1.55
E. coli bacteraemia,Aneurin Bevan UHB,2024/25,376,278,98,595412.00003,63.15,16.46,104559,3.6,0.94
E. coli bacteraemia,Betsi Cadwaladr UHB,2024/25,539,411,128,691990.99998,77.89,18.5,98096,5.49,1.3
E. coli bacteraemia,Cardiff and Vale UHB,2024/25,286,203,83,518268.99996,55.18,16.01,67682,4.23,1.23
E. coli bacteraemia,Cwm Taf Morgannwg UHB,2024/25,364,287,77,446513.99999,81.52,17.24,64992,5.6,1.18
E. coli bacteraemia,Hywel Dda UHB,2024/25,380,320,60,388138.99998,97.9,15.46,56745,6.7,1.06
E. coli bacteraemia,Powys THB,2024/25,2,0,2,134439.00001,1.49,1.49,1347,1.48,1.48
E. coli bacteraemia,Swansea Bay UHB,2024/25,224,157,67,389639.99999,57.49,17.2,62961,3.56,1.06
E. coli bacteraemia,Velindre NHST,2024/25,11,10,1,,,,3204,3.43,0.31
E. coli bacteraemia,Wales,2024/25,2182,1666,516,3164403.99994,68.95,16.31,459586,4.75,1.12
Gram negative bacteraemia,Aneurin Bevan UHB,2024/25,533,378,155,595412.00003,89.52,26.03,104559,5.1,1.48
Gram negative bacteraemia,Betsi Cadwaladr UHB,2024/25,700,529,171,691990.99998,101.16,24.71,98096,7.14,1.74
Gram negative bacteraemia,Cardiff and Vale UHB,2024/25,447,290,157,518268.99996,86.25,30.29,67682,6.6,2.32
Gram negative bacteraemia,Cwm Taf Morgannwg UHB,2024/25,481,370,111,446513.99999,107.72,24.86,64992,7.4,1.71
Gram negative bacteraemia,Hywel Dda UHB,2024/25,509,420,89,388138.99998,131.14,22.93,56745,8.97,1.57
Gram negative bacteraemia,Powys THB,2024/25,2,0,2,134439.00001,1.49,1.49,1347,1.48,1.48
Gram negative bacteraemia,Swansea Bay UHB,2024/25,363,232,131,389639.99999,93.16,33.62,62961,5.77,2.08
Gram negative bacteraemia,Velindre NHST,2024/25,19,17,2,,,,3204,5.93,0.62
Gram negative bacteraemia,Wales,2024/25,3054,2236,818,3164403.99994,96.51,25.85,459586,6.65,1.78
Klebsiella sp bacteraemia,Aneurin Bevan UHB,2024/25,115,76,39,595412.00003,19.31,6.55,104559,1.1,0.37
Klebsiella sp bacteraemia,Betsi Cadwaladr UHB,2024/25,136,99,37,691990.99998,19.65,5.35,98096,1.39,0.38
Klebsiella sp bacteraemia,Cardiff and Vale UHB,2024/25,120,73,47,518268.99996,23.15,9.07,67682,1.77,0.69
Klebsiella sp bacteraemia,Cwm Taf Morgannwg UHB,2024/25,103,75,28,446513.99999,23.07,6.27,64992,1.58,0.43
Klebsiella sp bacteraemia,Hywel Dda UHB,2024/25,105,85,20,388138.99998,27.05,5.15,56745,1.85,0.35
Klebsiella sp bacteraemia,Powys THB,2024/25,0,0,0,134439.00001,0.0,0.0,1347,0.0,0.0
Klebsiella sp bacteraemia,Swansea Bay UHB,2024/25,121,65,56,389639.99999,31.05,14.37,62961,1.92,0.89
Klebsiella sp bacteraemia,Velindre NHST,2024/25,8,7,1,,,,3204,2.5,0.31
Klebsiella sp bacteraemia,Wales,2024/25,708,480,228,3164403.99994,22.37,7.21,459586,1.54,0.5
MRSA bacteraemia,Aneurin Bevan UHB,2024/25,19,9,10,595412.00003,3.19,1.68,104559,0.18,0.1
MRSA bacteraemia,Betsi Cadwaladr UHB,2024/25,11,8,3,691990.99998,1.59,0.43,98096,0.11,0.03
MRSA bacteraemia,Cardiff and Vale UHB,2024/25,15,5,10,518268.99996,2.89,1.93,67682,0.22,0.15
MRSA bacteraemia,Cwm Taf Morgannwg UHB,2024/25,10,8,2,446513.99999,2.24,0.45,64992,0.15,0.03
MRSA bacteraemia,Hywel Dda UHB,2024/25,11,8,3,388138.99998,2.83,0.77,56745,0.19,0.05
MRSA bacteraemia,Powys THB,2024/25,0,0,0,134439.00001,0.0,0.0,1347,0.0,0.0
MRSA bacteraemia,Swansea Bay UHB,2024/25,5,2,3,389639.99999,1.28,0.77,62961,0.08,0.05
MRSA bacteraemia,Velindre NHST,2024/25,1,1,0,,,,3204,0.31,0.0
MRSA bacteraemia,Wales,2024/25,72,41,31,3164403.99994,2.28,0.98,459586,0.16,0.07
MSSA bacteraemia,Aneurin Bevan UHB,2024/25,170,109,61,595412.00003,28.55,10.25,104559,1.63,0.58
MSSA bacteraemia,Betsi Cadwaladr UHB,2024/25,169,127,42,691990.99998,24.42,6.07,98096,1.72,0.43
MSSA bacteraemia,Cardiff and Vale UHB,2024/25,169,109,60,518268.99996,32.61,11.58,67682,2.5,0.89
MSSA bacteraemia,Cwm Taf Morgannwg UHB,2024/25,121,87,34,446513.99999,27.1,7.61,64992,1.86,0.52
MSSA bacteraemia,Hywel Dda UHB,2024/25,122,85,37,388138.99998,31.43,9.53,56745,2.15,0.65
MSSA bacteraemia,Powys THB,2024/25,2,0,2,134439.00001,1.49,1.49,1347,1.48,1.48
MSSA bacteraemia,Swansea Bay UHB,2024/25,126,77,49,389639.99999,32.34,12.58,62961,2.0,0.78
MSSA bacteraemia,Velindre NHST,2024/25,3,3,0,,,,3204,0.94,0.0
MSSA bacteraemia,Wales,2024/25,882,597,285,3164403.99994,27.87,9.01,459586,1.92,0.62
P. aeruginosa bacteraemia,Aneurin Bevan UHB,2024/25,42,24,18,595412.00003,7.05,3.02,104559,0.4,0.17
P. aeruginosa bacteraemia,Betsi Cadwaladr UHB,2024/25,25,19,6,691990.99998,3.61,0.87,98096,0.25,0.06
P. aeruginosa bacteraemia,Cardiff and Vale UHB,2024/25,41,14,27,518268.99996,7.91,5.21,67682,0.61,0.4
P. aeruginosa bacteraemia,Cwm Taf Morgannwg UHB,2024/25,14,8,6,446513.99999,3.14,1.34,64992,0.22,0.09
P. aeruginosa bacteraemia,Hywel Dda UHB,2024/25,24,15,9,388138.99998,6.18,2.32,56745,0.42,0.16
P. aeruginosa bacteraemia,Powys THB,2024/25,0,0,0,134439.00001,0.0,0.0,1347,0.0,0.0
P. aeruginosa bacteraemia,Swansea Bay UHB,2024/25,18,10,8,389639.99999,4.62,2.05,62961,0.29,0.13
P. aeruginosa bacteraemia,Velindre NHST,2024/25,0,0,0,,,,3204,0.0,0.0
P. aeruginosa bacteraemia,Wales,2024/25,164,90,74,3164403.99994,5.18,2.34,459586,0.36,0.16
S. aureus bacteraemia,Aneurin Bevan UHB,2024/25,189,118,71,595412.00003,31.74,11.92,104559,1.81,0.68
S. aureus bacteraemia,Betsi Cadwaladr UHB,2024/25,180,135,45,691990.99998,26.01,6.5,98096,1.83,0.46
S. aureus bacteraemia,Cardiff and Vale UHB,2024/25,184,114,70,518268.99996,35.5,13.51,67682,2.72,1.03
S. aureus bacteraemia,Cwm Taf Morgannwg UHB,2024/25,131,95,36,446513.99999,29.34,8.06,64992,2.02,0.55
S. aureus bacteraemia,Hywel Dda UHB,2024/25,133,93,40,388138.99998,34.27,10.31,56745,2.34,0.7
S. aureus bacteraemia,Powys THB,2024/25,2,0,2,134439.00001,1.49,1.49,1347,1.48,1.48
S. aureus bacteraemia,Swansea Bay UHB,2024/25,131,79,52,389639.99999,33.62,13.35,62961,2.08,0.83
S. aureus bacteraemia,Velindre NHST,2024/25,4,4,0,,,,3204,1.25,0.0
S. aureus bacteraemia,Wales,2024/25,954,638,316,3164403.99994,30.15,9.99,459586,2.08,0.69
C. difficile,Aneurin Bevan UHB,2025/26,126,81,45,298521.63288,42.21,15.07,55936,2.25,0.8
C. difficile,Betsi Cadwaladr UHB,2025/26,161,78,83,346943.43288,46.41,23.92,50909,3.16,1.63
C. difficile,Cardiff and Vale UHB,2025/26,106,71,35,259844.45751,40.79,13.47,33152,3.2,1.06
C. difficile,Cwm Taf Morgannwg UHB,2025/26,92,56,36,223868.66301,41.1,16.08,31436,2.93,1.15
C. difficile,Hywel Dda UHB,2025/26,80,38,42,194601.19728,41.11,21.58,29091,2.75,1.44
C. difficile,Powys THB,2025/26,13,11,2,67403.66301,19.29,2.97,744,17.47,2.69
C. difficile,Swansea Bay UHB,2025/26,121,54,67,195353.75343,61.94,34.3,32799,3.69,2.04
C. difficile,Velindre NHST,2025/26,1,1,0,,,,1653,0.6,0.0
C. difficile,Wales,2025/26,700,390,310,1586536.8,44.12,19.54,235720,2.97,1.32
E. coli bacteraemia,Aneurin Bevan UHB,2025/26,179,129,50,298521.63288,59.96,16.75,55936,3.2,0.89
E. coli bacteraemia,Betsi Cadwaladr UHB,2025/26,246,186,60,346943.43288,70.9,17.29,50909,4.83,1.18
E. coli bacteraemia,Cardiff and Vale UHB,2025/26,139,108,31,259844.45751,53.49,11.93,33152,4.19,0.94
E. coli bacteraemia,Cwm Taf Morgannwg UHB,2025/26,192,160,32,223868.66301,85.76,14.29,31436,6.11,1.02
E. coli bacteraemia,Hywel Dda UHB,2025/26,187,144,43,194601.19728,96.09,22.1,29091,6.43,1.48
E. coli bacteraemia,Powys THB,2025/26,1,0,1,67403.66301,1.48,1.48,744,1.34,1.34
E. coli bacteraemia,Swansea Bay UHB,2025/26,138,99,39,195353.75343,70.64,19.96,32799,4.21,1.19
E. coli bacteraemia,Velindre NHST,2025/26,8,5,3,,,,1653,4.84,1.81
E. coli bacteraemia,Wales,2025/26,1090,831,259,1586536.8,68.7,16.32,235720,4.62,1.1
Gram negative bacteraemia,Aneurin Bevan UHB,2025/26,265,191,74,298521.63288,88.77,24.79,55936,4.74,1.32
Gram negative bacteraemia,Betsi Cadwaladr UHB,2025/26,330,243,87,346943.43288,95.12,25.08,50909,6.48,1.71
Gram negative bacteraemia,Cardiff and Vale UHB,2025/26,211,143,68,259844.45751,81.2,26.17,33152,6.36,2.05
Gram negative bacteraemia,Cwm Taf Morgannwg UHB,2025/26,270,213,57,223868.66301,120.61,25.46,31436,8.59,1.81
Gram negative bacteraemia,Hywel Dda UHB,2025/26,261,202,59,194601.19728,134.12,30.32,29091,8.97,2.03
Gram negative bacteraemia,Powys THB,2025/26,1,0,1,67403.66301,1.48,1.48,744,1.34,1.34
Gram negative bacteraemia,Swansea Bay UHB,2025/26,216,135,81,195353.75343,110.57,41.46,32799,6.59,2.47
Gram negative bacteraemia,Velindre NHST,2025/26,8,5,3,,,,1653,4.84,1.81
Gram negative bacteraemia,Wales,2025/26,1562,1132,430,1586536.8,98.45,27.1,235720,6.63,1.82
Klebsiella sp bacteraemia,Aneurin Bevan UHB,2025/26,64,47,17,298521.63288,21.44,5.69,55936,1.14,0.3
Klebsiella sp bacteraemia,Betsi Cadwaladr UHB,2025/26,69,45,24,346943.43288,19.89,6.92,50909,1.36,0.47
Klebsiella sp bacteraemia,Cardiff and Vale UHB,2025/26,62,32,30,259844.45751,23.86,11.55,33152,1.87,0.9
Klebsiella sp bacteraemia,Cwm Taf Morgannwg UHB,2025/26,73,50,23,223868.66301,32.61,10.27,31436,2.32,0.73
Klebsiella sp bacteraemia,Hywel Dda UHB,2025/26,64,49,15,194601.19728,32.89,7.71,29091,2.2,0.52
Klebsiella sp bacteraemia,Powys THB,2025/26,0,0,0,67403.66301,0.0,0.0,744,0.0,0.0
Klebsiella sp bacteraemia,Swansea Bay UHB,2025/26,63,30,33,195353.75343,32.25,16.89,32799,1.92,1.01
Klebsiella sp bacteraemia,Velindre NHST,2025/26,0,0,0,,,,1653,0.0,0.0
Klebsiella sp bacteraemia,Wales,2025/26,395,253,142,1586536.8,24.9,8.95,235720,1.68,0.6
MRSA bacteraemia,Aneurin Bevan UHB,2025/26,3,1,2,298521.63288,1.0,0.67,55936,0.05,0.04
MRSA bacteraemia,Betsi Cadwaladr UHB,2025/26,5,2,3,346943.43288,1.44,0.86,50909,0.1,0.06
MRSA bacteraemia,Cardiff and Vale UHB,2025/26,9,4,5,259844.45751,3.46,1.92,33152,0.27,0.15
MRSA bacteraemia,Cwm Taf Morgannwg UHB,2025/26,2,1,1,223868.66301,0.89,0.45,31436,0.06,0.03
MRSA bacteraemia,Hywel Dda UHB,2025/26,8,5,3,194601.19728,4.11,1.54,29091,0.27,0.1
MRSA bacteraemia,Powys THB,2025/26,0,0,0,67403.66301,0.0,0.0,744,0.0,0.0
MRSA bacteraemia,Swansea Bay UHB,2025/26,5,3,2,195353.75343,2.56,1.02,32799,0.15,0.06
MRSA bacteraemia,Velindre NHST,2025/26,0,0,0,,,,1653,0.0,0.0
MRSA bacteraemia,Wales,2025/26,32,16,16,1586536.8,2.02,1.01,235720,0.14,0.07
MSSA bacteraemia,Aneurin Bevan UHB,2025/26,71,45,26,298521.63288,23.78,8.71,55936,1.27,0.46
MSSA bacteraemia,Betsi Cadwaladr UHB,2025/26,87,62,25,346943.43288,25.08,7.21,50909,1.71,0.49
MSSA bacteraemia,Cardiff and Vale UHB,2025/26,70,45,25,259844.45751,26.94,9.62,33152,2.11,0.75
MSSA bacteraemia,Cwm Taf Morgannwg UHB,2025/26,56,40,16,223868.66301,25.01,7.15,31436,1.78,0.51
MSSA bacteraemia,Hywel Dda UHB,2025/26,54,36,18,194601.19728,27.75,9.25,29091,1.86,0.62
MSSA bacteraemia,Powys THB,2025/26,1,1,0,67403.66301,1.48,0.0,744,1.34,0.0
MSSA bacteraemia,Swansea Bay UHB,2025/26,58,31,27,195353.75343,29.69,13.82,32799,1.77,0.82
MSSA bacteraemia,Velindre NHST,2025/26,3,3,0,,,,1653,1.81,0.0
MSSA bacteraemia,Wales,2025/26,400,263,137,1586536.8,25.21,8.64,235720,1.7,0.58
P. aeruginosa bacteraemia,Aneurin Bevan UHB,2025/26,22,15,7,298521.63288,7.37,2.34,55936,0.39,0.13
P. aeruginosa bacteraemia,Betsi Cadwaladr UHB,2025/26,15,12,3,346943.43288,4.32,0.86,50909,0.29,0.06
P. aeruginosa bacteraemia,Cardiff and Vale UHB,2025/26,10,3,7,259844.45751,3.85,2.69,33152,0.3,0.21
P. aeruginosa bacteraemia,Cwm Taf Morgannwg UHB,2025/26,5,3,2,223868.66301,2.23,0.89,31436,0.16,0.06
P. aeruginosa bacteraemia,Hywel Dda UHB,2025/26,10,9,1,194601.19728,5.14,0.51,29091,0.34,0.03
P. aeruginosa bacteraemia,Powys THB,2025/26,0,0,0,67403.66301,0.0,0.0,744,0.0,0.0
P. aeruginosa bacteraemia,Swansea Bay UHB,2025/26,15,6,9,195353.75343,7.68,4.61,32799,0.46,0.27
P. aeruginosa bacteraemia,Velindre NHST,2025/26,0,0,0,,,,1653,0.0,0.0
P. aeruginosa bacteraemia,Wales,2025/26,77,48,29,1586536.8,4.85,1.83,235720,0.33,0.12
S. aureus bacteraemia,Aneurin Bevan UHB,2025/26,74,46,28,298521.63288,24.79,9.38,55936,1.32,0.5
S. aureus bacteraemia,Betsi Cadwaladr UHB,2025/26,92,64,28,346943.43288,26.52,8.07,50909,1.81,0.55
S. aureus bacteraemia,Cardiff and Vale UHB,2025/26,79,49,30,259844.45751,30.4,11.55,33152,2.38,0.9
S. aureus bacteraemia,Cwm Taf Morgannwg UHB,2025/26,58,41,17,223868.66301,25.91,7.59,31436,1.85,0.54
S. aureus bacteraemia,Hywel Dda UHB,2025/26,62,41,21,194601.19728,31.86,10.79,29091,2.13,0.72
S. aureus bacteraemia,Powys THB,2025/26,1,1,0,67403.66301,1.48,0.0,744,1.34,0.0
S. aureus bacteraemia,Swansea Bay UHB,2025/26,63,34,29,195353.75343,32.25,14.84,32799,1.92,0.88
S. aureus bacteraemia,Velindre NHST,2025/26,3,3,0,,,,1653,1.81,0.0
S. aureus bacteraemia,Wales,2025/26,432,279,153,1586536.8,27.23,9.64,235720,1.83,0.65
